49.126.231.234 - - [27/Jul/2020:17:05:55 +0000] "GET /admin/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:05:55 +0000] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 874 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:05:56 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 1072 "http://164.90.217.64/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:05:56 +0000] "GET /static/admin/css/login.css HTTP/1.1" 404 1072 "http://164.90.217.64/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:05:56 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1077 "http://164.90.217.64/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:05:56 +0000] "GET /favicon.ico HTTP/1.1" 404 1061 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:14 +0000] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0 "http://164.90.217.64/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:14 +0000] "GET /admin/ HTTP/1.1" 200 1195 "http://164.90.217.64/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:15 +0000] "GET /static/admin/css/dashboard.css HTTP/1.1" 404 1077 "http://164.90.217.64/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:15 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 1072 "http://164.90.217.64/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:15 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1077 "http://164.90.217.64/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:24 +0000] "GET /admin/api/file/ HTTP/1.1" 200 1758 "http://164.90.217.64/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/css/changelists.css HTTP/1.1" 404 1076 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 1072 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /admin/jsi18n/ HTTP/1.1" 200 3223 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 404 1083 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 1079 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/core.js HTTP/1.1" 404 1073 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 1087 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 1078 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
49.126.231.234 - - [27/Jul/2020:17:06:25 +0000] "GET /static/admin/js/actions.js HTTP/1.1" 404 1075 "http://164.90.217.64/admin/api/file/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
